Lake.basin,Large.lake,DOW,Lake
Cass,Cass,04003000,Cass
Red,Red,4003500,Upper Red
Upper Red,Red,04003501,Upper Red
Lower Red,Red,04003502,Lower Red
Winnibigoshish,Winnibigoshish,11014700,Winnibigoshish
Leech,Leech,11020300,Leech
Leech Main,Leech,11020301,Leech
Leech Kabekona Bay,Leech,11020302,Leech Kabekona Bay
Leech Ah-Gwah-Chin,Leech,11020303,Leech
Leech Shingobee Bay,Leech,11020304,Leech Shingobee Bay
Lake of the Woods,Lake of the Woods,39000200,Lake of the Woods
Lake of the Woods Main,Lake of the Woods,39000201,Lake of the Woods
Lake of the Woods 4 mile bay,Lake of the Woods,39000202,Lake of the Woods
Mille Lacs,Mille Lacs,48000200,Mille Lacs
Vermilion,Vermilion,69037800,East Vermilion
East Vermilion,East Vermilion,69037801,East Vermilion
West Vermilion,West Vermilion,69037802,West Vermilion
East Vermilion Pike bay,East Vermilion,69037803,East Vermilion
Rainy,Rainy,69069400,Rainy
Kabetogama,Kabetogama,69084500,Kabetogama
