"depths","areas"
0,46012170.2117824
0.3048,41721220.0126819
0.6096,40328986.8366318
0.9144,39508382.0175352
1.2192,38847678.1374754
1.524,38258649.6783378
1.8288,37708521.4476462
2.1336,37173918.3081276
2.4384,36631815.124564
2.7432,36042386.6630773
3.048,35162406.4952922
3.3528,33599122.3147253
3.6576,32064588.3029972
3.9624,30840381.1136991
4.2672,29880475.4765424
4.572,28901719.7286863
4.8768,27636312.297435
5.1816,26550330.919884
5.4864,25564050.1278361
5.7912,24736945.2705674
6.096,23722239.3115895
6.4008,22460056.8992775
6.7056,21372600.5130643
7.0104,20410394.8624005
7.3152,19655415.4286966
7.62,19026686.7364148
7.9248,18449058.3442254
8.2296,17913005.1961913
8.5344,17391552.133898
8.8392,16834898.8648874
9.144,16100969.5548028
9.4488,15084263.5840796
9.7536,14005607.2495457
10.0584,12744649.8444278
10.3632,11285341.2744697
10.668,10017083.8264814
10.9728,9011977.92388093
11.2776,8246848.43056963
11.5824,7567269.43966354
11.8872,6922440.65283203
12.192,5973560.08042131
12.4968,3977398.35773111
12.8016,2644965.53286549
13.1064,1765310.36698896
13.4112,1285382.54855743
13.716,1016530.96969549
14.0208,828504.865490486
14.3256,673453.954936111
14.6304,546903.211752259
14.9352,441427.592334506
15.24,54025.3172699137
