Lake,Lat,Lon,DOW
Cass,47.444126,-94.209088,04003000
East Vermilion,47.860247,-92.299235,69037801
Kabetogama,48.468113,-93.018743,69084500
Lake of the Woods,49.086196,-94.959429,39000200
Leech,47.151791,-94.390326,11020301
Leech Kabekona Bay,47.136428,-94.648685,11020302
Lower Red,47.958362,-94.978382,4003502
Mille Lacs,46.237523,-93.646509,48000200
Rainy,48.624103,-93.024,69069400
Upper Red,48.136947,-94.753568,04003501
West Vermilion,47.92761,-92.614494,69037802
Winnibigoshish,47.440178,-94.214582,11014700
